province,province_id,community,community_id,settlement,table,main_num1,sub_num2,sub_num3,sub_num4,full_code,name,significance,date,location,notes,revoked_act,legal_act,type,subtype,comment,lon,lat
Սյունիք,,,,Կապան քաղաք,8.1,1,,,,8.1/1,ԱՄՐՈՑ ԿԱՏԱՐԱՎԱՆՔ,Հ,10-18 դդ.,"քաղաքից 5 կմ ամ, Ողջի գետի աջ ափին, նախկին Ջրախոր գյուղի մոտ, «Տանձու լենջ» վայրում",կիսավեր է,,"29.12.2005, N 2322-Ն",Հնագիտական,Ամրոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,1.1,,,8.1/1.1,Դիտակետ,Հ,10-12 դդ.,Ողջի գետի ձախ ափին,կիսավեր է,,"29.12.2005, N 2322-Ն",Հնագիտական,Դիտակետ,,,
Սյունիք,,,,Կապան քաղաք,8.1,,1.2,,,8.1/1.2,Շինություններ օժանդակ,Հ,10-11 դդ.,ամրոցի տարածքի ամ և հվ-ամ կողմերում,ավերված է,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Շենք / Շինություն,,,
Սյունիք,,,,Կապան քաղաք,8.1,,1.3,,,8.1/1.3,Պալատական համալիր,Հ,10-12 դդ.,,ավերված է,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Պալատական համալիր,,,
Սյունիք,,,,Կապան քաղաք,8.1,2,,,,8.1/2,ԱՐՁԱՆ «ԶԱՆԳԵԶՈՒՐՑԻ ԱՂՋԻԿԸ»,Հ,1988 թ.,ավտոկայարանամերձ հրապարակում,քանդ.՝ Բ․ Մինասյան,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Կիսանդրի / Արձան,,,
Սյունիք,,,,Կապան քաղաք,8.1,3,,,,8.1/3,ԱՐՁԱՆ «ՔԱՋԱՐԱՆԻ ԲԱՆԱԼԻՆ»,Հ,1966 թ.,"Կապան-Քաջարան մայրուղու ձախ կողմում, Ողջի գետի աջ ափին",քանդ.` Մ. Նուրիջանյան,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Կիսանդրի / Արձան,,,
Սյունիք,,,,Կապան քաղաք,8.1,4,,,,8.1/4,ԲՆԱԿԱՏԵՂԻ,Հ,Ք.ա. 1 հազ.,"քաղաքից 5 կմ հս-ամ, Ողջի գետի ձախ ափին, ձորում",ավերված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Բնակատեղի,,,
Սյունիք,,,,Կապան քաղաք,8.1,5,,,,8.1/5,ԲՆԱԿԵԼԻ ԹԱՂԱՄԱՍ ԱՉԱՂՈՒ (ՀԱՄԼԵՏԱՎԱՆ),,,քաղաքից 5-6 կմ հս-ամ,նախկին գյուղը մտել է քաղաքի շրջագծի մեջ,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Բնակելի թաղամաս,,,
Սյունիք,,,,Կապան քաղաք,8.1,,5.1,,,8.1/5.1,Ամրոց Կկոց քար,Հ,10 դ.,Բաղաբերդ ամրոցից աե,ավերված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Ամրոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,5.2,,,8.1/5.2,Գյուղատեղի Աչաղու,Հ,10-18 դդ.,"թաղամասի հս կողմում, անտառապատ լեռնալանջին",ավերված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Գյուղատեղի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,5.2.1,,8.1/5.2.1,Գերեզմանոց,Հ,13-14 դդ.,,ավերված է,,"29.12.2005, N 2322-Ն",Թաղումներ,Գերեզմանոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,5.2.2,,8.1/5.2.2,Եկեղեցի,Հ,17-18 դդ.,գերեզմանոցի տարածքում,միանավ սրահ,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,5.3,,,8.1/5.3,Հուշարձան՝ ազատամարտիկ Համլետ Քոչարյանի,Տ,1991 թ.,թաղամասի ամ եզրին,թաղամասը Համլետավան է վերանվանվել ի հիշատակ Հ. Քոչարյանի,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Հուշարձան,,,
Սյունիք,,,,Կապան քաղաք,8.1,,5.4,,,8.1/5.4,Մատուռ,Հ,17-18 դդ.,Դ. Հարությունյանի տնամերձ հողամասում,կիսավեր է,,"29.12.2005, N 2322-Ն",Կրոնական,Մատուռ,,,
Սյունիք,,,,Կապան քաղաք,8.1,6,,,,8.1/6,ԲՆԱԿԵԼԻ ԹԱՂԱՄԱՍ ԲԱՂԱԲՈՒՐՋ,,,"քաղաքից հվ-ամ, բարձրադիր վայրում",նախկին գյուղը քաղաքի շրջագծի մեջ է մտել 1958 թ.,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Բնակելի թաղամաս,,,
Սյունիք,,,,Կապան քաղաք,8.1,,6.1,,,8.1/6.1,Գյուղատեղի,Հ,11-17 դդ.,"թաղամասից 1.5 կմ ամ, անտառապատ վայրում",Գյուղատեղի Ղուշչի (Ղուրճիկ). ավերված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Գյուղատեղի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,6.1.1,,8.1/6.1.1,Եկեղեցի,Հ,11 դ.,,"փոքր, ավերված",,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,6.1.2,,8.1/6.1.2,Խաչքար,Հ,11 դ.,եկեղեցու մոտ,տեղահանված է,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,6.1.3,,8.1/6.1.3,Տապանաքար,Հ,11 դ.,եկեղեցու մոտ,արձանագիր,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,6.2,,,8.1/6.2,Գյուղատեղի Վանք,Հ,միջնադար,"թաղամասից 2 կմ հվ, անտառապատ բարձունքի վրա",տարածքի մեծ մասը մելիորացված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Գյուղատեղի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,6.2.1,,8.1/6.2.1,Եկեղեցի,Հ,17-18 դդ.,,պատերը տեղ-տեղ պահպանվել են մինչև 2.5 մ բարձրությամբ,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,6.2.1.1,8.1/6.2.1.1,Տապանաքար,Հ,1462 թ.,ագուցված է եկեղեցու հվ ճակատին,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,6.2.2,,8.1/6.2.2,Խաչքար,Հ,10-11 դդ.,եկեղեցու ամ պատի մոտ,վերնամասը բացակայում է,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,6.3,,,8.1/6.3,Դամբարանադաշտ,Հ,Ք.ա. 1 հազ.,թաղամասի տարածքում,,,"29.12.2005, N 2322-Ն",Թաղումներ,Դամբարանադաշտ,,,
Սյունիք,,,,Կապան քաղաք,8.1,,6.4,,,8.1/6.4,Եկեղեցի Սբ. Հռիփսիմե,Հ,1891 թ.,թաղամասի կենտրոնում,կառուցվել է հին եկեղեցու հիմքերի վրա,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,6.4.1,,8.1/6.4.1,Գերեզմանոց,Հ,"13-15դդ., 19-20 դդ.",եկեղեցու շուրջը,ավերված է,,"29.12.2005, N 2322-Ն",Թաղումներ,Գերեզմանոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,6.4.2,,8.1/6.4.2,Տապանաքար Արղունի,Հ,1436 թ.,"ագուցված է եկեղեցու հվ ճակատին, հորիզոնական դիրքով",հին եկեղեցին կառուցողի տապանաքարն է,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,6.5,,,8.1/6.5,Հուշաղբյուր՝ Երկրորդ աշխարհամարտում Բաղաբուրջ և Բարաբաթում գյուղերի զոհվածներին,Տ,2001 թ.,"թաղամասից 1.6 կմ հվ-ամ, անտառապատ վայրում, ճանապարհի եզրին",,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Հուշաղբյուր,,,
Սյունիք,,,,Կապան քաղաք,8.1,,6.6,,,8.1/6.6,Հուշարձան՝ Գարեգին Նժդեհի,Հ,2001 թ.,"թաղամասից 1 կմ հվ-ամ, սարալանջին, անտառի բացատում",,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Հուշարձան,,,
Սյունիք,,,,Կապան քաղաք,8.1,,6.7,,,8.1/6.7,Հուշարձան՝ Գարեգին Նժդեհի,Հ,2001 թ.,"թաղամասից 1.5 կմ հվ-ամ, դաշտամիջյան ճանապարհի եզրին",,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Հուշարձան,,,
Սյունիք,,,,Կապան քաղաք,8.1,,6.8,,,8.1/6.8,Հուշարձան՝ Երկրորդ աշխարհամարտում զոհվածներին,Տ,1970 թ.,թաղամասի կենտրոնում,տարածքը պատնեշվել է տեղում եղած և ավերված գերեզմանոցի տապանա-քարերով,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Հուշարձան,,,
Սյունիք,,,,Կապան քաղաք,8.1,7,,,,8.1/7,ԲՆԱԿԵԼԻ ԹԱՂԱՄԱՍ ԲԱՐԱԲԱԹՈՒՄ,,,,,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Բնակելի թաղամաս,,,
Սյունիք,,,,Կապան քաղաք,8.1,,7.1,,,8.1/7.1,Գերեզմանոց,Տ,19-20 դդ.,"թաղամասից 300 մ աե, «Խաչի խութ» վայրում",,,"29.12.2005, N 2322-Ն",Թաղումներ,Գերեզմանոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,7.2,,,8.1/7.2,Եկեղեցի Սբ. Հռիփսիմե,Հ,17-18 դդ.,թաղամասի կենտրոնում,միանավ սրահ,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,7.2.1,,8.1/7.2.1,Գերեզմանոց,Հ,17-19 դդ.,եկեղեցու շուրջը,ավերված է,,"29.12.2005, N 2322-Ն",Թաղումներ,Գերեզմանոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,7.3,,,8.1/7.3,Հուշարձան՝ Երկրորդ աշխարհամարտում զոհվածներին,Տ,1968 թ.,թաղամասի կենտրոնում,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Հուշարձան,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,7.3.1,,8.1/7.3.1,Խաչքար Արցախյան պատերազմում զոհված ազատամարտիկներին,Տ,1994 թ.,,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,8,,,,8.1/8,ԲՆԱԿԵԼԻ ԹԱՂԱՄԱՍ ԲԵԽ,,,"քաղաքից հս-ամ, Խուստուփ լեռան լանջին",նախկին գյուղը քաղաքի շրջագծի մեջ է մտել 1963 թ.,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Բնակելի թաղամաս,,,
Սյունիք,,,,Կապան քաղաք,8.1,,8.1,,,8.1/8.1,Ամրոց Հալիձոր (Հալիձորի բերդ),Հ,10-18 դդ.,"Ողջի գետի բարձրադիր աջ ափին, ՀԷԿ-ի մոտ",կառուցվել է որպես կուսանոց անապատ. բերդի դիմաց եղել են Բեխ գյուղի Մելիք-Փար-սադանյանների պղնձահանքն ու պղնձաձուլա-րանը,,"29.12.2005, N 2322-Ն",Հնագիտական,Ամրոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.1.1,,8.1/8.1.1,Դամբարան,Հ,17 դ.,ամրոցի հս կողմում,"քառամույթ, գմբեթավոր",,"29.12.2005, N 2322-Ն",Թաղումներ,Դամբարան,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.1.2,,8.1/8.1.2,Եկեղեցի Սբ. Աստվածածին,Հ,17 դ.,,1723 թ. վերակառուցվել է Դավիթ Բեկի կողմից,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.1.3,,8.1/8.1.3,Խաչքար՝ հայր Վարդանի,Հ,982 թ.,ամրոցի տարածքում,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.1.4,,8.1/8.1.4,Շինություններ բնակելի,Հ,17 դ.,Սբ. Աստվածածին եկեղեցուն կից են հվ-ից և հս-ից,երկհարկ,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Շենք / Շինություն,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.1.5,,8.1/8.1.5,Սեղանատուն,Հ,17 դ.,ամրոցի հս կողմում,,,"29.12.2005, N 2322-Ն",Կրոնական,Սեղանատուն,,,
Սյունիք,,,,Կապան քաղաք,8.1,,8.2,,,8.1/8.2,Գյուղատեղի Հալիձոր,Հ,միջնադար,Հալիձորի բերդի հվ-աե կողմում,ավերված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Գյուղատեղի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.2.1,,8.1/8.2.1,Գերեզմանոց,Հ,10-18 դդ.,գյուղատեղիի եկեղեցու մոտ,,,"29.12.2005, N 2322-Ն",Թաղումներ,Գերեզմանոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.2.2,,8.1/8.2.2,Եկեղեցի,Հ,17 դ.,"գյուղատեղիում, Հալիձորի բերդից մոտ 25 մ աե",միանավ սրահ,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,8.2.2.1,8.1/8.2.2.1,Խաչքար,Հ,14-15 դդ.,ագուցված է եկեղեցու աե պատին,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.2.3,,8.1/8.2.3,Շինություն տնտեսական,Հ,19 դ.,գյուղատեղիում,կանգուն է,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Շենք / Շինություն,,,
Սյունիք,,,,Կապան քաղաք,8.1,,8.3,,,8.1/8.3,Եկեղեցի Սբ. Գևորգ,Հ,17 դ.,թաղամասի կենտրոնում,միանավ սրահ` վերակառ. 1903 թ.,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.3.1,,8.1/8.3.1,Գերեզմանոց,Տ,17-19 դդ.,եկեղեցու շուրջը,,,"29.12.2005, N 2322-Ն",Թաղումներ,Գերեզմանոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,8.3.1.1,8.1/8.3.1.1,Խաչքար,Տ,17-18 դդ.,,պարզունակ է,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.3.2,,8.1/8.3.2,Տապանաքար՝ Բալի զորավարի,Հ,1791 թ.,ագուցված է եկեղեցու հվ ճակատին,Բալի Մելիք -Փարսադանյան` Դավիթ Բեկի զորավարներից,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.3.3,,8.1/8.3.3,Տապանաքար` Դավիթ-Բեկ Փարսադանյանցի,Հ,1864 թ.,ագուցված է եկեղեցու հվ ճակատին,Դավիթ-Բեկ Փարսադանյանց` ռուսական բանակի զորավար,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.3.4,,8.1/8.3.4,Տապանաքար տեր Սարգիս Մելիք-Փարսադանյանցի,Տ,1842 թ.,ագուցված է եկեղեցու հվ ճակատին,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,8.4,,,8.1/8.4,Եկեղեցի Սբ. Մինաս,Հ,17-18 դդ.,"թաղամասի գործող գերեզմանոցի աե մասում, մուտքի մոտ",պահպանվել է աե պատը` 70 սմ բարձրությամբ,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,8.5,,,8.1/8.5,Հուշարձան՝ Երկրորդ աշխարհամարտում զոհվածներին,Տ,1975 թ.,գյուղի մեջ,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Հուշարձան,,,
Սյունիք,,,,Կապան քաղաք,8.1,,8.6,,,8.1/8.6,Մատուռ,Հ,10-11 դդ.,"թաղամասից 1 կմ ամ, Վահանավանքից մոտ 2 կմ հվ",,,"29.12.2005, N 2322-Ն",Կրոնական,Մատուռ,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.6.1,,8.1/8.6.1,Տապանաքար Տիկնանունի,Հ,1019 թ.,մատուռի մոտ,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,8.7,,,8.1/8.7,Շինություն,Տ,17-19 դդ.,"թաղամասի գործող գերեզմանոցի հս-ամ կողմում, ձորեզրին",թաղածածկ,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Շենք / Շինություն,,,
Սյունիք,,,,Կապան քաղաք,8.1,,8.8,,,8.1/8.8,"Վանական համալիր Բեխի անապատ (Տանձափարախի անապատ, Արիստակես անապատ)",Հ,10-17 դդ.,"թաղամասից 4 կմ հվ-աե, բարձր լեռան աե լանջին, անտառի մեջ","վերակառուցվել է 17 դ. 20-ական թթ. Արիստակես վարդապետի կողմից. ավերված է. կարծիք կա, որ Փառարտովանքն է",,"29.12.2005, N 2322-Ն",Կրոնական,Վանական համալիր,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.8.1,,8.1/8.8.1,Գավիթ,Հ,17 դ.,կից է եկեղեցուն ամ-ից,պահպանվել են հիմքերը,,"29.12.2005, N 2322-Ն",Կրոնական,Գավիթ,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.8.2,,8.1/8.8.2,Գերեզմանոց,Հ,11-18 դդ.,"համալիրի աե կողմում, լեռնալանջին",,,"29.12.2005, N 2322-Ն",Թաղումներ,Գերեզմանոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.8.3,,8.1/8.8.3,Եկեղեցի,Հ,17 դ.,համալիրի կենտրոնում,,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,8.8.3.1,8.1/8.8.3.1,Խաչքար,Հ,10-11 դդ.,եկեղեցու մեջ,երկատված է,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,8.8.3.2,8.1/8.8.3.2,Խաչքար՝ տեր Հակոբի,Հ,1757 թ.,եկեղեցու մեջ,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.8.4,,8.1/8.8.4,Միաբանության խցեր,Հ,17 դ.,կից են ամ պարսպապատին,ավերված են,,"29.12.2005, N 2322-Ն",Կրոնական,Միաբանության խցեր,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.8.5,,8.1/8.8.5,Պարիսպ,Հ,17 դ.,համալիրի շուրջը,պահպանվել են հիմքերը,,"29.12.2005, N 2322-Ն",Ինժեներական / Տնտեսական,Պարիսպ,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.8.6,,8.1/8.8.6,Սեղանատուն,Հ,17 դ.,կից է եկեղեցուն հվ-ից,կիսավեր,,"29.12.2005, N 2322-Ն",Կրոնական,Սեղանատուն,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,8.8.6.1,8.1/8.8.6.1,Խաչքար,Հ,1116 թ.,,ստորին կես,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,8.8.6.2,8.1/8.8.6.2,Խաչքար Մակարի,Հ,1054 թ.,,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.8.7,,8.1/8.8.7,Սրահ,Տ,17 դ.,կից է սեղանատան ամ պատին,պահպանվել են հիմքերը,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Շենք / Շինություն,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,8.8.8,,8.1/8.8.8,Շինություն (Մատուռ),Տ,17 դ.,"Բեխ թաղամասից 4 կմ հվ-ամ, բարձր լեռան աե լանջին, Բեխի անապատից մոտ 50 մ աե","թաղածածկ սրահ է, ամ ճակատն արտաքուստ գրեթե գետնաթաղ է",,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Շենք / Շինություն,,,
Սյունիք,,,,Կապան քաղաք,8.1,9,,,,8.1/9,ԲՆԱԿԵԼԻ ԹԱՂԱՄԱՍ ՇՂԱՐՇԻԿ (ՇՀԱՐՋԻԿ),,,քաղաքից հս-ամ,պատմական Շեկք գյուղն է. քաղաքի շրջագծի մեջ է մտել 1970-ական թթ.,,"29.12.2005, N 2322-Ն",Բնակելի / Շինություններ,Բնակելի թաղամաս,,,
Սյունիք,,,,Կապան քաղաք,8.1,,9.1,,,8.1/9.1,Գերեզմանոց,Հ,15-16 դդ.,թաղամասի հվ կողմում,ավերված է. տարածքում մահմեդա-կանները կառուցել են սրբավայր` օգտագործելով հայկական տապանաքարերը,,"29.12.2005, N 2322-Ն",Թաղումներ,Գերեզմանոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,9.2,,,8.1/9.2,Գյուղատեղի,Հ,10-13 դդ.,"թաղամասի դիմաց, Ողջի գետի աջափնյա անտառապատ ձորակում, Վահանավանքի աե կողմում",ավերված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Գյուղատեղի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,9.3,,,8.1/9.3,Գյուղատեղի Խնկանց,Հ,10-17 դդ.,թաղամասից 1 կմ աե,ավերված է,,"29.12.2005, N 2322-Ն",Հնագիտական,Գյուղատեղի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,9.3.1,,8.1/9.3.1,Գերեզմանոց,Հ,10-13 դդ.,,,,"29.12.2005, N 2322-Ն",Թաղումներ,Գերեզմանոց,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,9.3.2,,8.1/9.3.2,Եկեղեցի «Խնկոց վանք»,Հ,17 դ.,գյուղատեղիի կենտրոնում,Եկեղեցի Կարաքիլիսե. միանավ սրահ,,"29.12.2005, N 2322-Ն",Կրոնական,Եկեղեցի,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,9.3.2.1,8.1/9.3.2.1,Խաչքար,Հ,10-11 դդ.,տեղադրված է եկեղեցու հս ավանդատան լուսամուտի մեջ,արձանագիր,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,9.3.2.2,8.1/9.3.2.2,Խաչքար,Հ,14-15 դդ.,ընկած է եկեղեցու մեջ,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,9.4,,,8.1/9.4,Դամբարանադաշտ,Հ,Ք.ա. 7-6 դդ.,"Վահանավանքից 1 կմ հս-ամ, «Էլեկտրոն» ճամբարի տարածքում",ավերված է,,"29.12.2005, N 2322-Ն",Թաղումներ,Դամբարանադաշտ,,,
Սյունիք,,,,Կապան քաղաք,8.1,,9.5,,,8.1/9.5,Կամուրջ,Հ,17-18 դդ.,"թաղամասից 1 կմ հվ-ամ, Վահանավանք տանող կամրջից 500 մ ամ, Ողջի գետի վրա",պահպանվել է աջափնյա խելը,,"29.12.2005, N 2322-Ն",Ինժեներական / Տնտեսական,Կամուրջ,,,
Սյունիք,,,,Կապան քաղաք,8.1,,9.6,,,8.1/9.6,Մետաղաձուլարան,Հ,Ք.ա. 14-13 դդ.,Վահանավանքից մոտ 1 կմ հս,հայտնաբերվել է դաշույնի կաղապար,,"29.12.2005, N 2322-Ն",Հնագիտական,Մետաղաձուլարան,,,
Սյունիք,,,,Կապան քաղաք,8.1,,9.7,,,8.1/9.7,Վանական համալիր Վահանավանք,Հ,10-11 դդ.,"թաղամասի դիմաց, Ողջի գետի աջափնյա անտառապատ սարալանջին","կիսավեր է, հիմնադրել է Սյունյաց Ձագիկ իշխանի որդի Վահանը",,"29.12.2005, N 2322-Ն",Կրոնական,Վանական համալիր,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,9.7.1,,8.1/9.7.1,Աղբյուր Խիկարի,Հ,10-11 դդ.,համալիրից մոտ 200 մ աե,վերանորոգվել է 1968 թ.,,"29.12.2005, N 2322-Ն",Ինժեներական / Տնտեսական,Աղբյուր,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,9.7.1.1,8.1/9.7.1.1,Խաչքար՝ հայր Խիկարի,Հ,970 թ.,տեղադրված է աղբյուրի վրա,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,9.7.2,,8.1/9.7.2,Աղբյուր Վահանի,Հ,10-11 դդ.,"համալիրից 70 մ աե, ճանա-պարհի աջ կողմում",,,"29.12.2005, N 2322-Ն",Ինժեներական / Տնտեսական,Աղբյուր,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,9.7.2.1,8.1/9.7.2.1,Խաչքար,Հ,11 դ.,ագուցված է աղբյուրի պատին,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Խաչքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,9.7.3,,8.1/9.7.3,Գավիթ,Հ,10 դ.,կից է Սբ. Գրիգոր եկեղեցուն ամ-ից,ավերված է,,"29.12.2005, N 2322-Ն",Կրոնական,Գավիթ,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,9.7.3.1,8.1/9.7.3.1,Տապանաքար՝ Գևորգ Պահլավունու,Հ,1101 թ.,գավթում,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,9.7.3.2,8.1/9.7.3.2,Տապանաքար՝ Խուշուշի,Հ,11 դ.,գավթի աե մուտքի մոտ,հարթ,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,9.7.3.3,8.1/9.7.3.3,Տապանաքար՝ Կատայի,Հ,10-11 դդ.,գավթում,Կատա` դուստր Աշոտի,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,9.7.3.4,8.1/9.7.3.4,Տապանաքար՝ Կյուրիկեի,Հ,1099 թ.,"գավթում, եկեղեցու մուտքի մոտ",Կյուրիկե` որդի Սենեքերիմ թագավորի,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
Սյունիք,,,,Կապան քաղաք,8.1,,,,9.7.3.5,8.1/9.7.3.5,Տապանաքար՝ Հովհաննեսի,Հ,1317 թ.,գավթի աե որմնասյան մոտ,,,"29.12.2005, N 2322-Ն",Հուշարձաններ,Տապանաքար,,,
